place,name,address,latitude,longitude,ranking
ChIJ-QT0xrsEdkgRrgujBGh57C8,The Duke of Sussex,"23 Baylis Rd, London SE1 7AY, United Kingdom",51.5011604,-0.1101276,4.3
ChIJ-QUOvGYZdkgRoPl1g9O1-U4,Springfield Tavern,"133 Bounds Green Rd, London N11 2PP, United Kingdom",51.60554639999999,-0.1227392,4.3
ChIJ-S8EqGcbdkgR4YSmJ1sOxU0,The Kings,"59 Essex Rd, London N1 2SF, United Kingdom",51.5375767,-0.100417,4.3
ChIJ-S8EqGcbdkgRBzv1xEAzpmY,King's Head,"115 Upper St, London N1 1QN, United Kingdom",51.5383273,-0.1026599,4.4
ChIJ-T0muTUbdkgRQaBaBul0IQQ,The Square Pig,"30-32 Procter St, London WC1V 6NX, United Kingdom",51.51873089999999,-0.1192133,4.1
ChIJ-TYY0bcYdkgR1zARL0lSwPU,The Ridgeway Tavern,"76 The Ridgeway, Enfield EN2 8JF, United Kingdom",51.66272069999999,-0.1039391,4.1
ChIJ-V-3dX8EdkgRjEGsqtdqOe8,The Sun of Camberwell,"61-63 Coldharbour Ln, London SE5 9NS, United Kingdom",51.4701326,-0.0948507,4.2
ChIJ-XkZ1Kev2EcRn9zezYRSqMI,Prince of Wales,"13A Woolwich Rd, Belvedere DA17 5EE, United Kingdom",51.4836555,0.1433558,4.5
ChIJ-YNjRZcedkgR9TKtDmJEwzg,Lt's Bar,"Fore St, London N18 2SW, United Kingdom",51.61039299999999,-0.0655661,4.5
ChIJ-Zm3-zQDdkgRggM_BPI-CtQ,The Dog,"72 Back Church Ln, London E1 1LX, United Kingdom",51.5127301,-0.0669356,4.5
ChIJ-Zu-9c8CdkgR9MCdIDUEv6Q,The Blacksmiths Arms,"257 Rotherhithe St, London SE16 5EJ, United Kingdom",51.5051585,-0.034008,4.5
ChIJ-_5lT-oLdkgRxpEwptxhqbM,The King's Tun - JD Wetherspoon,"153-157 Clarence St, Kingston upon Thames KT1 1QT, United Kingdom",51.41142019999999,-0.3005456,4.0
ChIJ-bCLyGQXdkgRxYwkt96VgQY,Orange Tree Totteridge,"7 Totteridge Village, London N20 8NX, United Kingdom",51.6300718,-0.1974188,4.2
ChIJ-buqpicgdkgRuFOJhMdopuU,The Moon and Cross - JD Wetherspoon,"104 High St, Waltham Cross EN8 7BX, United Kingdom",51.6849375,-0.0326304,4.0
ChIJ-bvJK6cadkgRoi8-VY3Dijw,Elgin - Maida Vale,"255 Elgin Ave., London W9 1NJ, United Kingdom",51.5303996,-0.185422,4.3
ChIJ-cCTE8kPdkgRri6zR_jHTEY,The Grove Tavern,"83 Hammersmith Grove, London W6 0NQ, United Kingdom",51.4972809,-0.227496,4.2
ChIJ-cIIR0IAdkgR2vuxi1qWeGA,The Goat Pub,"1-3 Broom Rd, Croydon CR0 8NG, United Kingdom",51.3697769,-0.0307547,4.3
ChIJ-f0CnqUEdkgRbL6ay_3zhtY,Lord Nelson,"243 Union St, London SE1 0LR, United Kingdom",51.5034117,-0.1026066,4.5
ChIJ-wc5tTAZdkgRih-65IGoEbY,The Dog & Duck,"74 Hoppers Rd, London N21 3LH, United Kingdom",51.6255177,-0.1047981,4.6
ChIJ-x-j68YfdkgRRe8AnIJ1Dk0,Old Wheatsheaf,"3 Windmill Hill, Enfield EN2 6SE, United Kingdom",51.653732,-0.0896516,4.3
ChIJ-y-NdEUDdkgRf-pX6Ox8kAM,The Two Bridges Ale House & Kitchen,"186 Tooley St, London SE1 2TZ, United Kingdom",51.5032199,-0.0795192,4.1
ChIJ-yvXmbQadkgRPnEMI14imuA,The Monkey Puzzle,"30 Southwick St, Tyburnia, London W2 1JQ, United Kingdom",51.5164067,-0.1697169,4.5
ChIJ-zmYeWqr2EcRvGbBr116bGk,The Crown,"46 Plaistow Ln, Bromley BR1 3PA, United Kingdom",51.41408449999999,0.0209812,4.3
ChIJ0-Rct4gUdkgRlTP5-iX_DUE,The Hare,"Weald, Brookshill, Old Redding, Harrow HA3 6SD, United Kingdom",51.6206883,-0.3429763000000001,4.3
ChIJ0-VfEUqn2EcR1cYn_QWHFLY,George Woodford,"70 High Rd, London E18 2QL, United Kingdom",51.5947496,0.022538,4.2
ChIJ00gM2Lmb2EcRta_075HqArI,The Purple Emperor,"Burgoyne Hatch, Harlow CM20 3EH, United Kingdom",51.7713815,0.1195439,4.5
ChIJ01NehtUbdkgRdjnC7wr40sw,The Maid Of Muswell,"121 Alexandra Park Rd, Greater, Muswell Hill, London N10 2DP, United Kingdom",51.5988913,-0.1379295,4.3
ChIJ024gZygbdkgR9qrUUP3Tz7s,The Prince Of Wales Feathers,"8 Warren St, Greater, London W1T 5LD, United Kingdom",51.5242583,-0.1385421,4.3
ChIJ02cdBcsPdkgRwa3puG6p4Mk,The Andover Arms,"57 Aldensley Rd, London W6 0DL, United Kingdom",51.496852,-0.232676,4.5
ChIJ044eqskDdkgRykfbESyB5oA,The Prince of Wales Pub Forest Hill,"52 Perry Rise, London SE23 2QL, United Kingdom",51.43369269999999,-0.0423498,4.2
ChIJ04AeTsMbdkgRBwyQ9iClxZs,Three Falcons Hotel & Pub,"1 Orchardson St, London NW8 8NG, United Kingdom",51.5241042,-0.1746932,4.3
ChIJ05M9_fADdkgRzdlIPtKlWvA,The Graduate,"107-109 Blackheath Rd, London SE10 8PD, United Kingdom",51.4731381,-0.0154478,4.4
ChIJ05WkE84CdkgRH6RzB264YGE,The Grapes,"76 Narrow St, London E14 8BP, United Kingdom",51.5089038,-0.03393,4.5
ChIJ07An708BdkgRyXc-H4dLdTo,The Sparrowhawk - Crystal Palace,"2 Westow Hill, London SE19 1RX, United Kingdom",51.41965949999999,-0.082937,4.2
ChIJ08DiF2M7dkgRDkPXrVGEycA,Hopfields,"Homestead Rd, Birchwood, Hatfield AL10 0QW, United Kingdom",51.7712951,-0.2239642,4.3
ChIJ08tP-rkIdkgRIUC5sqksWyQ,The Garratt & Gauge,"18 Hartfield Rd, London SW19 3TA, United Kingdom",51.4196739,-0.2053918,4.1
ChIJ0RVpK8MCdkgR-TJLWHRlRQo,The Ship & Whale,"2 Gulliver St, London SE16 7LT, United Kingdom",51.4968574,-0.0342679,4.6
ChIJ0TP6lvYOdkgRr2wwpvy1ggs,The Brown Dog,"28 Cross St, London SW13 0AP, United Kingdom",51.46897689999999,-0.2516492,4.4
ChIJ0TSJWUgadkgRTqirut2U4Mc,Bull Highgate,"13 North Hill, London N6 4AB, United Kingdom",51.575495,-0.150741,4.5
ChIJ0TowjRgPdkgRqgyfGtPZ6_E,The Woodman Pub,"222 Durnsford Rd, London SW19 8DR, United Kingdom",51.4347176,-0.1963476,4.4
ChIJ0TpHE94OdkgRHQRRNiPKZnI,King's Head Roehampton,"1 Roehampton High St, London SW15 4HL, United Kingdom",51.4502295,-0.2407638,4.4
ChIJ0TpHE94OdkgRraHIW4ajTIQ,The Angel Roehampton SW15,"11 Roehampton High St, London SW15 4HL, United Kingdom",51.45026009999999,-0.2399857,4.2
ChIJ0VjImkUBdkgR3XqBVefc3CE,The Alma Crystal Palace,"95 Church Rd, London SE19 2TA, United Kingdom",51.4172875,-0.0809466,4.2
ChIJ0WJ61B0bdkgRmTHPG4A1Ddc,Camden Road Arms,"102, 104 Camden Rd, London NW1 9EA, United Kingdom",51.5415262,-0.1383856,4.2
ChIJ0WNoa-Gg2EcRL2wV4ZXfruw,The Three Colts,"54 Princes Rd, Buckhurst Hill IG9 5EE, United Kingdom",51.62436539999999,0.04292,4.3
ChIJ0Xft26sDdkgRFsvFykblz-o,Golden Anchor,"16 Evelina Rd, London SE15 2DX, United Kingdom",51.469378,-0.052258,4.2
ChIJ0YHgyV0EdkgRgGrwf017hWw,The Marquis of Lorne,"49 Dalyell Rd, London SW9 9SA, United Kingdom",51.466363,-0.1197802,4.3
ChIJ0YojPkYDdkgR3EaWN1g8xzg,Dean Swift Pub,"10 Gainsford St, London SE1 2NE, United Kingdom",51.502898,-0.0751034999999999,4.5
ChIJ0Z8seOEadkgRhJ6wZDbtT2k,The Oxford Arms,"265 Camden High St, London NW1 7BU, United Kingdom",51.5406168,-0.1442585,4.1
ChIJ0_G86nMTdkgRhBUQ-UmjN94,Royal Oak,"86 St. Anns Rd, Harrow HA1 1JP, United Kingdom",51.5816451,-0.3378906,4.1
ChIJ0dVudCwbdkgRGE7rzuFamss,Fitzroy Tavern,"16 Charlotte St., London W1T 2LY, United Kingdom",51.5186551,-0.1346763,4.2
ChIJ0ePbTj9AdkgR5XXIEeEuvbY,The Swan,"College Rd, Abbots Langley WD5 0NR, United Kingdom",51.7029919,-0.4088775,4.1
ChIJ0y191CMfdkgRkhXPkyMcnLY,Dicey Reilly's Edmonton,"161 Silver St., London N18 1PY, United Kingdom",51.616483,-0.0772564999999999,4.6
ChIJ1-5UCDcMdkgRgG9L30dQ4b0,The Sun Inn,"17 Parkshot, Richmond TW9 2RG, United Kingdom",51.4641943,-0.3023049,4.3
ChIJ1-IYc4cPdkgR4I5TjgAzQxQ,The Butcher's Hook,"477 Fulham Rd., London SW6 1HL, United Kingdom",51.4802376,-0.1891254,4.2
ChIJ11m2lB4bdkgRLq5mP89TImM,Prince Albert,"163 Royal College St, London NW1 0SG, United Kingdom",51.5399578,-0.137038,4.3
ChIJ12Bp89UadkgRSlUCQIgc6wM,"Yorkshire Grey, Fitzrovia","Yorkshire Grey, 46 Langham St, London W1W 7AX, United Kingdom",51.5189629,-0.1413848,4.3
ChIJ12Uf7ykJdkgRuBMLjljfmTI,The Crown Sutton,"285 High St, Sutton SM1 1LD, United Kingdom",51.3682033,-0.1952917,4.1
ChIJ13uo36kYdkgRDgTk5iTbD2I,The Plough,"Cattlegate Rd, Enfield EN2 9DJ, United Kingdom",51.6832812,-0.1003717,4.2
ChIJ148Ubj0ddkgRaczYWt6SWJI,The Eleanor Arms,"460 Old Ford Rd., Old Ford, London E3 5JP, United Kingdom",51.5351028,-0.0330236,4.7
ChIJ16QiKg8PdkgRyTioiPZfcSQ,Half Moon,"93 Lower Richmond Rd., London SW15 1EU, United Kingdom",51.4673218,-0.2200089,4.4
ChIJ17DUUjo_dkgRu892AfLIE9Q,The Portland Arms,"Portland St, St Albans AL3 4RA, United Kingdom",51.7541598,-0.3475834,4.6
ChIJ19o5YjkMdkgRbYroppZN0iQ,Dukes Head Inn,"42 The Vineyard, Richmond TW10 6AN, United Kingdom",51.4585398,-0.2996187,4.6
ChIJ1QHezNMTdkgRrEN9-t2SjTQ,Twomey's Irish Bar,"278 Preston Rd, Wembley, Harrow HA3 0QA, United Kingdom",51.572892,-0.2943667,4.9
ChIJ1QkscOQVdkgR7OFB86myypI,The Oak,"Rossington Ave, Borehamwood WD6 4LA, United Kingdom",51.669121,-0.290398,4.4
ChIJ1RbQHU-p2EcROe-mS_tDoxk,Black Boy,"40 Southspring, Sidcup DA15 8EA, United Kingdom",51.4457404,0.0846541,3.9
ChIJ1Ta5UG6n2EcRvcl01a6qXQ8,The North Star,"24 Browning Rd, Bushwood, London E11 3AR, United Kingdom",51.56985510000001,0.0154464,4.6
ChIJ1UbnPT8MdkgRJoz0imODj-I,Stein's Richmond,"Towpath, Petersham Rd, Richmond TW10 6UX, United Kingdom",51.4555053,-0.3038986,4.3
ChIJ1VBm9b4BdkgRZUi5u7n3jj4,The George Inn,"111 High St, Beckenham BR3 1AG, United Kingdom",51.407242,-0.027713,4.5
ChIJ1VvRi6gadkgRpKdyKQUo8-8,Prince Alfred,"5A Formosa St, London W9 1EE, United Kingdom",51.5244091,-0.1849726,4.4
ChIJ1WbCTIsbdkgR7SD99Gz81Y4,The Old Ale Emporium,"405 Green Lanes, Harringay Ladder, London N4 1EU, United Kingdom",51.5780257,-0.0990656999999999,4.1
ChIJ1X-STsCr2EcRGcVVwXIetBg,The Cockpit,"4 Royal Parade, Chislehurst BR7 6NR, United Kingdom",51.4119272,0.0748587,4.8
ChIJ1Xg7M2UbdkgRbjN9j16o_yY,Fox & Anchor,"115 Charterhouse St, Barbican, London EC1M 6AA, United Kingdom",51.5204281,-0.1006569,4.4
ChIJ1Xw8i14bdkgRsRNbZoPuRfw,The Island Queen,"87 Noel Rd, Greater, London N1 8HD, United Kingdom",51.5331677,-0.0984381999999999,4.3
ChIJ1YUCxzcDdkgRt1g6nss0XFw,The Dickens Inn,"Marble Quay, St Katharine's Way, London E1W 1UH, United Kingdom",51.5067494,-0.0702544,4.2
ChIJ1Yix5ikFdkgR1GUx9kDQtck,The King's Head,"10 Stafford St, Greater, London W1S 4RX, United Kingdom",51.5086616,-0.1412708,4.4
ChIJ1ZprnrAEdkgRf4-ubizwazY,The Kings Arms,"25 Roupell St, London SE1 8SU, United Kingdom",51.5044518,-0.1090601,4.4
ChIJ1_9cnRIJdkgR0L79XiLZbXc,The Watchman - JD Wetherspoon,"184 High St, New Malden KT3 4ES, United Kingdom",51.3988588,-0.2552094,4.1
ChIJ1a-_IfQEdkgRVPpNfKKZAEQ,Canton Arms,"177 S Lambeth Rd, London SW8 1XP, United Kingdom",51.4771705,-0.1230102,4.2
ChIJ1aJhX6YEdkgRLuafw5x6t6c,Great Guns Social Bar & Restaurant,"96 Southwark Bridge Rd, London SE1 0EF, United Kingdom",51.50183759999999,-0.0980645,4.5
ChIJ1b3ronMDdkgRFflQZckLx14,The Olde Apple Tree,"107 Sumner Rd, Willowbrook Estate, London SE15 6JU, United Kingdom",51.4796037,-0.0738651,4.2
ChIJ1c0x3mEMdkgRLCSo84pz20o,The William Webb Ellis - JD Wetherspoon,"24 London Rd, Twickenham TW1 3RR, United Kingdom",51.4476343,-0.3284899,4.1
ChIJ1dU6KDAHdkgRE5VjWc4uBBQ,The Old Fox & Hounds,"1 London Rd, Croydon CR0 2RE, United Kingdom",51.37821899999999,-0.1030451,4.3
ChIJ1dXYT6UGdkgRv9I6jVYVnwQ,The Conquering Hero,"262 Beulah Hill, London SE19 3HF, United Kingdom",51.4197326,-0.1064428,4.5
ChIJ1eUo_AYFdkgRAuScIVVzPyw,Paya & Horse Pub gallery,"181 Battersea Park Rd, London SW11 4LB, United Kingdom",51.475871,-0.1488954,4.0
ChIJ1fEijs8IdkgRdAoGJi2Gnqg,Rushmere,"89 Ridgway, London SW19 4SU, United Kingdom",51.4207838,-0.2205841,4.2
ChIJ1fXFzqkcdkgRhRXXC14n01s,The Two Brewers,"St Lukes, 121 Whitecross St, London EC1Y 8JH, United Kingdom",51.5224541,-0.0928746999999999,4.2
ChIJ1fx4F0E9dkgRiiHR4uuv29c,The Strafford,"Cranborne Parade, Mutton Ln, Potters Bar EN6 3BA, United Kingdom",51.7010686,-0.2097554,4.3
ChIJ1woCeyEddkgRJJfi4Ffmo2I,The Crown,"223 Grove Rd., London E3 5SN, United Kingdom",51.53297939999999,-0.0417301,4.2
ChIJ1xlUVM-b2EcRZhF0_eQieMc,The Crown,"40 Market St, Old Harlow, Harlow CM17 0AQ, United Kingdom",51.78336849999999,0.1307212,4.4
ChIJ1xsouugadkgRoOZ2_HPF1DM,The Princess of Wales,"22 Chalcot Rd, London NW1 8LL, United Kingdom",51.5403987,-0.1540078,4.3
ChIJ2-Q3hpqq2EcRUEeiqpcoNFw,The New Inn,"59 Station Approach, Hayes, Bromley BR2 7EA, United Kingdom",51.37588849999999,0.0112744,4.2
ChIJ2-wCi5in2EcRCEEE93xitiY,The Fox & Hounds,"178 Forest Ln, London E7 9BB, United Kingdom",51.5499582,0.0247238,4.1
ChIJ206ZgX48dkgRaMZaN4fIrrI,Harpsfield Hall - JD Wetherspoon,"13a Parkhouse Ct, Hatfield AL10 9RQ, United Kingdom",51.7625733,-0.2403655,4.0
ChIJ20sQSwIQdkgRjG6i3vgKo1I,The Prince Bonaparte,"80 Chepstow Rd, London W2 5BE, United Kingdom",51.5174263,-0.1956145,4.3
ChIJ217oDHOp2EcRW7meyKSLSfg,The Park Tavern,"45 Passey Pl, London SE9 5DA, United Kingdom",51.4497517,0.0542914,4.5
ChIJ21DAnTEOdkgRAMuMrC0Ay6E,Orchard,"136 Askew Rd, London W12 9BP, United Kingdom",51.5016506,-0.2418653,4.0
ChIJ22nNyUE_dkgRrTTS6_fwZeQ,The Holly Bush,"Potterscrouch Ln, St Albans AL2 3NN, United Kingdom",51.73482990000001,-0.3843904,4.5
ChIJ22unGUeo2EcRpVgPxilZCGU,Rose of Denmark,"Rose of Denmark, 296 Woolwich Rd, New Charlton, London SE7 7AL, United Kingdom",51.4871627,0.0257869,4.4
ChIJ23DjuzUDdkgRXd21XBS9wpA,The Brown Bear,"139 Leman St, London E1 8EY, United Kingdom",51.5114102,-0.0684975999999999,4.2
ChIJ23Ib742q2EcR1werBrjz7N4,George Bromley,"29 Hayes St, Hayes, Bromley BR2 7LE, United Kingdom",51.3793522,0.0187318,4.2
ChIJ23YGECsbdkgRsjtRbmv3K8A,The Champion,"12-13 Wells St, London W1T 3PA, United Kingdom",51.5168385,-0.1372698,4.3
ChIJ24Iqq9QEdkgRRl1NubTsegw,The George,"The George, 1 D'Arblay St, London W1F 8DG, United Kingdom",51.5149334,-0.1352408,4.2
ChIJ25dfzb0FdkgRThyDl6tr4tM,The South West Eleven,"279 Battersea Park Rd, London SW11 4NE, United Kingdom",51.4746026,-0.1530526,4.5
ChIJ27Up5B0QdkgRECkK3JBa514,The Resting Room,"14-2 Blenheim Cres, London W11 1NN, United Kingdom",51.5160041,-0.2048699,4.5
ChIJ27grNBio2EcRqgZgN5Poq20,"The Pilot, Greenwich","68 River Way, London SE10 0BE, United Kingdom",51.4962284,0.0103462,4.4
ChIJ28QakrwcdkgRF2xjV4bgxyw,The Red Lion,"41 Hoxton St, London N1 6NH, United Kingdom",51.5281153,-0.0802584,4.1
ChIJ28VP8b4NdkgRXGr4FI4zkA0,"The Globe, Brentford","104 Windmill Rd, Brentford TW8 9NA, United Kingdom",51.49055569999999,-0.3097288,4.5
ChIJ29gYe7cPdkgRRHLRasrveXY,Duke of Cornwall,"48 Fulham Palace Rd, London W6 9PH, United Kingdom",51.4905278,-0.2237889,4.3
ChIJ29iUa9MCdkgR-zfe-XH3JpI,The Old Ship,"17 Barnes St, London E14 7NW, United Kingdom",51.513549,-0.0398761,4.4
ChIJ2QBsZWoIdkgRi8UG99aTy60,Gander Inn,"2 St Dunstan's Hill, Sutton SM1 2UE, United Kingdom",51.3715196,-0.2089197,4.5
ChIJ2QDisaDjdUgRYRg6VJCi9Y4,Spouter's Corner,"Unit 5, Spouter's Corner, 180 High Rd, London N22 6EJ, United Kingdom",51.5965575,-0.1089161,3.9
ChIJ2Qsu3uEHdkgRYz_vy6WSXUc,"The Little Windsor, Sutton","13 Greyhound Rd, Sutton SM1 4BY, United Kingdom",51.3640274,-0.1868705,4.5
ChIJ2QufhMwEdkgRXCUo74j_0Zo,The Nags Head,"10 James St, London WC2E 8BT, United Kingdom",51.5129135,-0.1236797,4.2
ChIJ2QxA5pgedkgRJrree604sMY,The Bricklayers,"803 High Rd, London N17 8ER, United Kingdom",51.6059507,-0.0683522999999999,4.5
ChIJ2UXz6M4adkgRvGAlw1AHJ-s,Globe,"43 Marylebone Rd, London NW1 5JY, United Kingdom",51.5219444,-0.1569444,4.1
ChIJ2U_eLGUSdkgRKEKedYYjhAo,"The Duke of Kent, Ealing","Scotch Common, London W13 8DL, United Kingdom",51.5251782,-0.3201984,4.3
ChIJ2W-y6aQcdkgRmFCdQdC5cdw,The George & Vulture,"63 Pitfield St, London N1 6BU, United Kingdom",51.5291724,-0.0837296999999999,4.3
ChIJ2W37hbwBdkgRDwzRQ3VWj1s,Moon & Stars Beer Garden,"158-162 High St, London SE20 7QS, United Kingdom",51.4124638,-0.0512563,4.0
ChIJ2WsBG-0EdkgRx9yI8-t6E8Y,The Beehive,"51 Durham St, London SE11 5JA, United Kingdom",51.4848572,-0.1184126,4.1
ChIJ2XXs7NMEdkgREeOUhIi9YQg,St James Tavern,"45 Great Windmill St, London W1D 7NE, United Kingdom",51.5109267,-0.1341624,4.3
ChIJ2XoY68UPdkgRHPUiNejUE7o,The Richmond,"55 Shepherds Bush Rd, London W6 7LU, United Kingdom",51.5003732,-0.221793,4.3
ChIJ2XzqK2EcdkgRkN65U4eJ-bU,"Three Crowns, Stoke Newington","175 Stoke Newington High St, London N16 0PE, United Kingdom",51.5620837,-0.0738779,4.0
ChIJ2Y1_aSIcdkgR7CSyp_56e48,The Beehive Pub | Tottenham,"Stoneleigh Rd., London N17 9JW, United Kingdom",51.5921878,-0.0692715,4.4
ChIJ2YEheqYcdkgRT1UP0IZcgWs,The Three Crowns,"8 East Rd, London N1 6DX, United Kingdom",51.5271579,-0.0876822,4.2
ChIJ2Yb3z0IEdkgR6jBR_dEuzrk,Trinity Arms,"45 Trinity Gardens, London SW9 8DR, United Kingdom",51.4617733,-0.1192909,4.3
ChIJ2ZClaP0cdkgR9ixSjGE_Weo,The Plough,"23-25 Homerton High St, London E9 6JP, United Kingdom",51.5482404,-0.0477566,4.5
ChIJ2Zv8hikbdkgRJm66CYGhPJY,The King & Queen,"1 Foley St, London W1W 6DL, United Kingdom",51.5202429,-0.1385673,4.3
ChIJ2_Gatm8PdkgRsCO913H8Y3U,Queen Adelaide,"35 Putney Bridge Rd, London SW18 1NP, United Kingdom",51.4598394,-0.1992641,4.4
ChIJ2a1y4d8FdkgRQ-PVePzgzY8,The Mayfair Tavern,"127 Upper Tooting Rd, London SW17 7TJ, United Kingdom",51.4323578,-0.163654,4.3
ChIJ2aMFcFSr2EcR4G4aHs_jnhc,The Rose & Crown,"Farnborough Way, Green Street Green, Orpington BR6 6BT, United Kingdom",51.35030800000001,0.0882719999999999,4.3
ChIJ2aPBg6wDdkgRfdDfm1hJRqA,Skehans,"1 Kitto Rd, London SE14 5TW, United Kingdom",51.467477,-0.0494313,4.6
ChIJ2bYGyCkddkgR-DrrIs-nii8,The Half Moon,"213-223 Mile End Rd, Bethnal Green, London E1 4AA, United Kingdom",51.5221802,-0.045419,4.1
ChIJ2dIy4igbdkgR25ZZQ8lgMsA,The Court,"108a Tottenham Ct Rd, Greater, London W1T 5AA, United Kingdom",51.5229965,-0.1369504,4.5
ChIJ2fCVI5AGdkgR-ovtHBbXlKU,The Bull,"498 Streatham High Rd, London SW16 3QB, United Kingdom",51.4194364,-0.1283567,4.4
ChIJ2fE9pzsbdkgRQDoE6r7vcoE,O'Neill's Kings Cross,"73-77 Euston Rd., Greater, Marylebone, London NW1 2QS, United Kingdom",51.528936,-0.1261495,4.2
ChIJ2fyqH5EcdkgRpnNYfwx4wiE,The Talbot,"109 Mortimer Rd, London N1 4JY, United Kingdom",51.5427495,-0.0791742,4.3
ChIJ2wPtmyYVdkgRP7zx0TWVWkQ,The King Stag,"15 Bournehall Rd, Bushey WD23 3EH, United Kingdom",51.6454854,-0.362909,4.4
ChIJ2wYPfY0ddkgRKO2pCOarZ1E,The Chequers,"145 High St, London E17 7BX, United Kingdom",51.583424,-0.0265591,4.2
ChIJ2xcyHPYPdkgRuTc4LY57Ceg,The Builders Arms,"1 Kensington Ct Pl, Greater, London W8 5BJ, United Kingdom",51.4994004,-0.1883404,4.5
ChIJ2xhV8sUFdkgRTW5pI3QxKEk,Balham Bowls Club,"7-9 Ramsden Rd, London SW12 8QX, United Kingdom",51.4449475,-0.1523736,4.4
ChIJ2xjz0fUCdkgRnKLRhKUtuoA,Royal Albert,"460 New Cross Rd, London SE14 6TJ, United Kingdom",51.4751755,-0.0286788,4.5
ChIJ2xqvFFsFdkgRfUKr7U0Db2Q,FiveSixEight,"Imperial College Union, Prince Consort Rd, South Kensington, London SW7 2BB, United Kingdom",51.5004399,-0.1779968,3.9
ChIJ2yaCKk8adkgRTT3QOxE-aLs,The Red Lion & Sun,"25 North Rd, London N6 4BE, United Kingdom",51.57262739999999,-0.1501336,4.5
ChIJ2ytpLHwUdkgRxGzDdkWKDaM,The Duck In The Pond,"Kenton Ln, Stanmore, Harrow HA3 6AA, United Kingdom",51.6043984,-0.3273369,4.1
ChIJ2zBNcqMDdkgRDdNeS-tFVcs,The Angel Oak,"31 Peckham Rye, London SE15 3NX, United Kingdom",51.4646243,-0.0655984999999999,4.2
ChIJ3-3Jt7MadkgRTjROEZbXy_Y,Lockhouse,"3 Merchant Sq, London W2 1JZ, United Kingdom",51.5189405,-0.1721289,4.1
ChIJ3-Y9gk4adkgRgeT1DcSgfQs,The Angel Inn,"37 Highgate High St, Greater, London N6 5JT, United Kingdom",51.5706558,-0.1476538,4.3
ChIJ3-_9tQsGdkgRKzzebHk3PAM,J.J. Moon's - JD Wetherspoon,"56a High Street, London SW17 0RN, United Kingdom",51.4278528,-0.1684052,3.6
ChIJ3-dQFSAFdkgR74tjp7XFxTY,The Willow Walk - JD Wetherspoon,"Parnell House, 25 Wilton Rd, Pimlico, London SW1V 1LW, United Kingdom",51.49501040000001,-0.1424483,4.0
ChIJ32egVwcfdkgROrvW4FFrLpg,The Goat,"250 High St, Ponders End, Enfield EN3 4HB, United Kingdom",51.6465484,-0.0472167,4.4
ChIJ330F5qcEdkgRMHAKgsJ01do,"The Rose & Crown, London Bridge (PUBLOVE)","65 Union St, London SE1 1SG, United Kingdom",51.5038182,-0.0947954,4.2
ChIJ34AWBhETdkgR42EUG9u8kFE,The White Horse,"White Horse, 50 Middle Rd, Harrow HA2 0HL, United Kingdom",51.5702984,-0.3453412,4.4
ChIJ35g32d-v2EcRxHcdThU2TEA,Copper House Blackfen,"31, Wellington Parade, Blackfen Rd, Sidcup DA15 9NB, United Kingdom",51.4504009,0.1056829,5.0
