pub_identity,detail_name,address,category,detail_latitude,detail_longitude,extra,place,ranking,website,url,color,scenic,sport,garden,music,roast,brunch,late,quiz,pool,dart,entertain,history,favourite,cocktail,beer,wine,outdoor,restaurant,nofeature,private,dj,comedy,karaoke,timeout,hours,monday,tuesday,wednesday,thursday,friday,saturday,sunday,station_name
5e7a2cf0-e9bc-4fc8-818b-763244375ebf,Swingers Crazy Golf - West End,"15 John Prince""s St, W1G 0AB",bar,51.51597539999999,-0.1434136,"Bustling, modern locale combining street eats, cocktails, DJ music & an indoor mini-golf course.",ChIJK7VnItUadkgRIKtptwcYHNw,4.0,https://swingers.club/uk/venues/west-end?utm_source=google&utm_medium=organic&utm_campaign=gmb&utm_content=west-end,https://maps.google.com/?cid=15860578409113037600,#808000,False,False,False,False,False,False,False,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,19edb505-0e04-4a05-803d-765eb9b002ba,db80566d-2afc-422c-833d-23d09c18aa3d,c5fccec8-9cef-4dfd-a923-977b1e4da482,1d87e430-5e7d-4b8a-aafd-97c25824856e,9c00f8b7-397c-4ae4-8038-d51419ae3d61,ff9ee2e2-653e-4aed-9b88-7c787369a8fe,cfc9ce0e-39a3-47a3-bcb6-12c82663d0f5,Oxford Circus
52c555f4-007f-4dd1-9d75-a0dfc38425ad,Kibele Restaurant,"175-177 Great Portland St, W1W 5PJ",bar,51.5218837,-0.1436869,"Vibrant eatery offering classic & modern Turkish cuisine plus cocktails, live music & belly dancing.",ChIJ-bg_WdYadkgRD-AagbO6NpE,4.0,https://www.kibelerestaurant.co.uk/,https://maps.google.com/?cid=10463756064369860623,#808000,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,,c3742c3b-9084-414c-8dea-460bfd65d894,,d8ba4fa9-8b5c-4974-8a77-beb8cf15f005,211c5e7e-b4d4-410a-9ac3-cdab3d1bbaf4,,Great Portland Street
dc3dc762-de64-421e-bc0b-e861e3766ae2,BiBo Shoreditch,"45 Curtain Rd, EC2A 3PT",Restaurant,51.52367858258219,-0.080561488866806,"Updated Spanish mains, tapas & creative cocktails in a sophisticated setting at the Mondrian Hotel.",ChIJqWi4-hgddkgRWtuFocZv6EI,4.3,https://book.ennismore.com/restaurants/bibo/shoreditch,https://maps.google.com/?cid=4821226300004227930,#808000,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,,,,,,,Shoreditch High Street
c7223326-661e-49ed-a0b2-da5bd4758508,Nightjar Shoreditch,"129 City Rd, EC1V 1JB",Bar,51.52652471172488,-0.0877367332577705,"Speakeasy-style subterranean bar with live jazz and blues, for cocktails and rare spirits.",ChIJO5NM4aUcdkgR-XrNmE-75f8,4.6,http://www.barnightjar.com/,https://maps.google.com/?cid=18439350199878777593,#808000,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,Old Street
610d6a7a-b922-4a4a-9302-6cdd869ce4f5,The Gunners,"204 Blackstock Rd, N5 1EN",Bar,51.55893287286906,-0.0987817347049713,"Traditional pub with heated beer garden, filled with Arsenal FC memorabilia and multiple TV screens.",ChIJPZQrmoEbdkgRYkei5lsTuCc,4.4,,https://maps.google.com/?cid=2862058848626296674,#808000,False,True,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,551b4927-547f-48ff-8458-2dbdc64d569e,287e46ec-4a35-4fbe-9e83-c832d9f8b31d,Arsenal
d5cd1760-b22e-49e8-832e-6eb5cab180f3,Pub On The Park,"19 Martello St, E8 3PE",Bar,51.54203157096124,-0.0582277402281761,"Airy traditional pub with sofas and standard lamps, park-side beer garden, boules and weekend DJs.",ChIJJ_b_8OUcdkgRe50aD2Mcvuk,4.3,http://www.pubonthepark.com/,https://maps.google.com/?cid=16842930868192976251,#808000,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,London Fields
20ed1e3d-fe9d-41dd-af2b-136e49ed881b,The King of Prussia,"363 Regents Park Rd, London N3 1DH, United Kingdom",,51.6007632,-0.1946784,,ChIJ-1LEVxIXdkgR9WIZue6vaM0,4.5,https://www.thekingfinchley.com/,https://maps.google.com/?cid=14801273615195661045,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,Finchley Central
55b07a92-f107-4a2a-a63b-01da3af10348,The Warwick Castle,"6 Warwick Pl, London W9 2PX, United Kingdom",,51.52198809999999,-0.1838343,"Oak-panelled pub for quiz nights, food including Sunday roasts, plus real fire and outdoor tables.",ChIJo1EeGKkadkgRF6qptUS7DjI,4.3,https://www.warwickcastlemaidavale.com/,https://maps.google.com/?cid=3607026255350311447,,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,Warwick Avenue
ad2bbf86-9982-4180-a815-6e0b075eba1c,The White Hart,"69 Stoke Newington High St, N16 8EL",Bar,51.55911296838674,-0.0743880495429039,"Pub with exposed brick walls and Chesterfields, for big screen live sports and large, leafy garden.",ChIJRZbnpGEcdkgRO2U7Q9YJEs4,4.0,http://whitehartstokenewington.com/,https://maps.google.com/?cid=14848941737249563963,#808000,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,Rectory Road
e7e819fb-a913-467e-94d3-1ca2f6473a6e,Lord Raglan E17,"199 Shernhall St, E17 9HX",Bar,51.58090780447581,-0.0034422799944877,No details on this pub,ChIJByRwS_QddkgRniyqEKqpBrY,4.2,http://www.lordraglanpub.com/,https://maps.google.com/?cid=13116357512652270750,#808000,False,True,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,Wood Street
32a17618-9e23-450c-b921-a6bab0dfdd6f,Caffè Concerto Piccadilly,"29-31 Piccadilly, W1J 0LF",Bar,51.5092568379436,-0.1368308812379837,"Elegant Italian chain with a menu of mains, traditional dishes, salads & baked items.",ChIJl1l3INQEdkgR9NcwIm5QKmQ,3.5,http://www.caffeconcerto.co.uk/,https://maps.google.com/?cid=7217669786764892148,#808000,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,Piccadilly Circus
0c00dbd3-a6fd-4c6b-8006-2d98c0d8b175,Turtle Bay Walthamstow,"269 High St, E17 7FD",Bar,51.58508990075969,-0.0198590755462646,0,ChIJ3b0ZEukddkgRQkxkAutRFj8,4.3,http://www.turtlebay.co.uk/locations/walthamstow/?utm_source=ExtNet&utm_medium=Yext,https://maps.google.com/?cid=4545910943676386370,#808000,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,Walthamstow Central
3c0e13d2-57f5-4e20-85da-8c49873b9224,Flat Iron Square,"45 Southwark St, SE1 9HP",Bar,51.504623460137545,-0.0933827832341194,"Casual food court serving lunchtime favourites such as noodles, pizza, salads & veggie dishes.",ChIJjQgs4acEdkgRQfSEih1EjSw,4.3,https://www.flatironsquare.co.uk/,https://maps.google.com/?cid=3210297003053741121,#808000,False,False,True,False,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,6d4bb268-cced-4771-b10f-761102c8d6cc,,,71d5a4fb-8483-4928-930e-d7fe81487cf2,,d214146c-0b25-43ee-8377-8bafd0e1f222,Borough
54ed8eb6-770a-4ed4-b269-a7c770447aed,The Coach & Horses,"22 High St, WD3 1ER",Bar,51.63937385814389,-0.4664475470781326,"Spacious, traditional inn with flagstones, bare bricks and beam decor, 2 bars and British dining.",ChIJf6KtQNNrdkgRiLfxZOJWPow,4.2,http://www.thecoachandhorses.info/,https://maps.google.com/?cid=10105610144222132104,#808000,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,Rickmansworth
0ff37efc-ce5a-40c6-8564-87a81a5a1d18,The Highbury Barn Tavern,"26 Highbury Park, N5 2AB",Bar,51.55382048911972,-0.0981044769287109,"Bright, modern pub with a history going back to 1770, a British menu and Sunday lunches.",ChIJ9Q486X4bdkgRE4xTK5YvkBs,1.0,http://www.thehighburybarnpub.co.uk/,https://maps.google.com/?cid=1986139757688884243,#808000,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,Drayton Park
07e36512-d3ca-4e13-a882-c5a679f44e26,The Blind Beggar,"337 Whitechapel Rd, E1 1BU",Bar,51.5199994613566,-0.0568842887878418,Victorian East End pub infamous as site where 1960s gangster Ronnie Kray shot and killed a rival.,ChIJvUc8HNIcdkgRgBlA40zXpb0,1.0,https://www.theblindbeggar.com/contact.html,https://maps.google.com/?cid=13665565369555753344,#808000,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,Whitechapel
866ef4d9-669f-4bab-ade2-1af9da1a0065,Princess Louise,"208 High Holborn, WC1V 7EP",Bar,51.517344451557534,-0.1215838640928268,"Real ale and pub grub in ornate Victorian bar with tiling, oak furnishings and etched glass panels.",ChIJD_JK9DQbdkgRfRhIaTjoh4M,4.4,,https://maps.google.com/?cid=9477799269806643325,#808000,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,Holborn
4efe599e-daf0-4cd5-94b4-740242dba743,Army & Navy,"1-3 Matthias Rd, N16 8NN",Bar,51.55170324158396,-0.0798205286264419,Friday entertainment advertised,ChIJHWMU1YgcdkgR9-vvoplu6M4,4.6,,https://maps.google.com/?cid=14909288172552711159,#808000,False,True,True,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,,,,,133b8d79-c8cb-474d-91cd-dc016a41c221,,,Dalston Kingsland
cf5c45aa-aaf6-4ac0-ba85-8cdb27e4d276,"Mabel""s Tavern","9 Mabledon Pl, WC1H 9AZ",Bar,51.52783069252965,-0.1275718957185745,"Bright pub with stripped floors, live sport screenings and pavement tables (reputedly haunted).",ChIJd3ly4TobdkgR6WMYc91z15Q,4.2,http://www.mabelstavern.co.uk/,https://maps.google.com/?cid=10725168432562070505,#808000,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,St Pancras
1b258b22-a853-4d64-947e-5ef4ade978be,The Phoenix,"37 Cavendish Square, W1G 0PP",Bar,51.51613477059503,-0.1436691731214523,"Shabby chic pub with worn-in tables and a basement club hosting live music, DJs and comedy nights.",ChIJo7F5IdUadkgRlfsdb-zHeB0,4.3,https://www.phoenixcavendishsquare.co.uk/?utm_source=google&utm_medium=organic&utm_campaign=gmb-homepage,https://maps.google.com/?cid=2123667042595634069,#808000,False,True,False,False,False,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,True,False,False,False,False,,,54c1db59-ae05-4ef5-affe-2e217fe1c113,,f8599be5-fa8e-4ea5-9d25-2c49d714d20f,53477d42-640d-4071-b802-2860d7183297,d354626d-3db3-47aa-bca5-9de68bb686e4,Oxford Circus
5cf4aec7-51e4-4bc0-acc2-b8042ab0363e,The Dolphin Pub,"47 Tonbridge St, WC1H 9DW",Bar,51.52895892465534,-0.1246945559978485,"Traditional, family-run pub offering draught & bottled beer, plus a Peruvian food menu.",ChIJz4Y8xzsbdkgRxRbrqjP9yVo,4.2,http://www.thedolphin-pub.com/,https://maps.google.com/?cid=6542038332085049029,#808000,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,Kings Cross St. Pancras
02d0238e-4c9e-4b8b-a3d7-75932572cd2b,Hagen & Hyde,"157 Balham High Rd, SW12 9AU",Bar,51.44390093200054,-0.1522224023938179,"Hip bar offering DJs on weekend evenings and terrace seating, plus real ales and gastropub dishes.",ChIJZ89_ec8FdkgRvb3Dr64YTZY,4.2,http://hagenandhyde.com/,https://maps.google.com/?cid=10830339817448127933,#808000,False,False,True,True,True,False,True,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,e247c269-0d2f-470a-a1d1-faeed0d647e2,,,,e5613101-b7de-4dc9-8f22-9f3b782be278,624fbc15-38a4-40f2-a2f9-04637912572d,0,Balham
540826ee-31c9-4644-bbbd-b3ef0d47b08b,The Devonshire,"39 Balham High Rd, SW12 9AN",Bar,51.44692506170376,-0.1489963755011558,"Spacious and stylish, high-ceilinged pub with chandeliers, contemporary sofas and wooden floors.",ChIJ9S2mLckFdkgRm7doWi-g3k8,4.2,https://www.devonshirebalham.co.uk/,https://maps.google.com/?cid=5755213499066791835,#808000,False,True,True,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,3a7eebe5-2c3c-46fa-8941-a2ad2f327f7f,,,,,,Clapham South
4b35c570-5afd-4f2d-a3f4-5d994a7e76e4,The Alexandra,"14 Clapham Common South Side, SW4 7AA",Bar,51.461319529990334,-0.1382601633667946,"Neighbourhood pub with a rustic wooden interior, projector screens and 5 TVs showing live sport.",ChIJY9Thc00EdkgRgvsx6E0alKA,4.1,https://www.alexandraclapham.com/,https://maps.google.com/?cid=11570902264532040578,#808000,False,True,False,False,False,False,False,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,Clapham Common
f39db520-b94f-49a5-8c56-e1afad69483d,The Thirsty Bear,"62 Stamford St, SE1 9LX",Bar,51.50711435315972,-0.1081282272934913,High-tech pub where patrons order drinks and food directly from their table using a tablet computer.,ChIJIfvKrLEEdkgRakjNJIpoutc,4.1,http://thethirstybear.com/,https://maps.google.com/?cid=15544852006354897002,#808000,False,True,False,False,False,False,True,False,False,True,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,54a042fb-00fd-4d8a-8983-f86ecd1f23ec,9c346272-97b0-441b-bb36-83d4781a88af,f45f557e-89fc-4cf5-9bbd-eb4ca4dd6c74,006a14ba-a952-4687-9947-558eff20ea29,372b0d90-03e2-4c98-b1eb-6ddd654ca089,69cb64b0-3067-43ca-98a5-a5790bf0b315,ebbdbbc3-e5f8-4ab3-9bf1-f2d2aa8bb9a9,Waterloo East
350d77be-b4c5-4984-ab2f-6d2de41415e0,The Avalon,"16 Balham Hill, SW12 9EB",Bar,51.45067506377649,-0.1479942351579666,"Large gastropub with Victorian fixtures and terraced beer garden, serving classic British dishes.",ChIJP1VDwskFdkgRuEghk9bLICU,4.2,http://www.theavalonlondon.com/,https://maps.google.com/?cid=2675362301109946552,#808000,False,False,True,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,996cb447-da83-492c-885f-51d32238406a,,,,,,,Clapham South
3c88a054-9473-4368-b392-af38c73e9797,The Bedford,"77 Bedford Hill, SW12 9HD",Bar,51.44274802385799,-0.1494734734296798,"Hip refurbished pub on 3 floors with a bar, restaurant & a club, plus a hotel, live music & comedy.",ChIJwYT1Mc4FdkgRzo7RtzDjKg0,4.2,https://thebedford.com/,https://maps.google.com/?cid=948820469896810190,#808000,False,False,True,True,True,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,487fab18-0374-4f93-a0df-ce21905f95bf,73c0da4f-4305-4b9a-854f-c179abe95616,3102baf7-fcbd-4a94-966b-d918ebd4ec9a,ed843a8b-fdfd-45ef-86d1-7abbede74f92,0bec4d72-a786-4cea-89ab-859134f782c0,47685516-1da6-4265-b311-a2c0952e4cdb,,Balham
4b0f5199-a980-4d1b-b0df-15fd21df824c,The Prince of Wales,"Cleaver Square, SE11 4EA",Bar,51.48822182110479,-0.1090529188513755,"Cosy pub overlooking a Georgian square with its own boules area, for British classics and real ale.",ChIJNz-oOpEEdkgRtr0pP7VoCZY,4.4,http://www.princeofwaleskennington.co.uk/,https://maps.google.com/?cid=10811287508137655734,#808000,False,False,False,False,True,False,False,False,False,False,True,False,False,False,True,False,True,False,False,False,False,False,False,False,False,9a9e208d-544e-41a5-8ee8-b8e4160fc62c,9ea4a106-c686-4980-a749-f785df32ec19,b840c15a-844f-4d4b-aec6-d90078d2c7be,e163c692-7eaf-41fb-ba90-47c4ca233f4b,e52914ee-9456-49c9-a070-abe71a3cc6d2,581ba10c-08e1-40fc-9224-5bb086e55221,9a446560-ac3f-476d-a7cb-c8cc126f9abd,Kennington
cb8b3078-6cff-48dc-a629-5b562730874c,The Blues Kitchen Brixton,"40 Acre Ln, SW2 5SP",Bar,51.46061890289546,-0.1192553713917732,"Dedicated blues bar serving hickory-smoked comfort food, plus regular live music & DJs.",ChIJQfUp7kIEdkgRp84y_4o-FUQ,4.3,http://theblueskitchen.com/brixton?utm_source=GMB&utm_medium=Organic&utm_campaign=GMB_Listing,https://maps.google.com/?cid=4905896135797952167,#808000,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,7f8735a5-7c88-4ce1-a6c3-203e537e576f,41d0573f-ac7e-4c96-b1f9-6fc4015b0016,dde52b20-2685-4ca2-99b6-012ff5f39cdd,2e67300f-e71a-47bb-a065-ee17c9dab936,,Brixton
0d0566ca-beb3-41be-8a22-5415fcf79d43,Tattershall Castle,"Victoria Embankment, SW1A 2HR",Bar,51.50455375658146,-0.1226222142577171,"Former passenger ferry with pub food and drinks, moored on the Thames with views of the London Eye.",ChIJR3wAzLEEdkgRTdaPTuBjrA4,4.3,https://www.thetattershallcastle.co.uk/?utm_source=gmb&utm_medium=organic&utm_campaign=homepage,https://maps.google.com/?cid=1057329827567097421,#808000,False,False,True,True,True,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,b839c4aa-63e4-4d76-8e1d-9fd0d4f259f8,,,,e025841a-c7c9-402b-809b-6992a019efaa,797a3efd-0fad-4f28-84cb-8cee84058d38,Embankment
3caa5c02-ee38-4a1d-9c2b-39bfcae80981,The Fox & Hounds,"183 High St, WD3 1AY",Bar,51.63912812042173,-0.473087690770626,"Relaxed watering hole with guest ales and an all-day bar snack menu, plus regular quiz nights.",ChIJc9l0XtVrdkgRpeqloootNPE,4.4,,https://maps.google.com/?cid=17380566935387105957,#808000,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,,,,,,,,Rickmansworth
d8b030ff-fb74-4f72-9cf4-8a3ec8434007,The Castle,"15 Grosvenor Rise E, E17 9LB",Bar,51.58069737698731,-0.0112055987119674,"Book-filled gastropub dishing up British food, including Sunday roasts with small portions for kids.",ChIJn9h9h_IddkgRcUXuJHkuRSM,4.3,http://www.thecastlee17.com/,https://maps.google.com/?cid=2541488662566028657,#808000,False,False,True,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,,Walthamstow Central
2dc38644-2fce-446f-a813-a2ba3e18eedf,BrewDog Waterloo,"01 The Sidings, SE1 7BH",Bar,51.502307325007486,-0.1153675094246864,"Sprawling brewhouse with 60 taps of draught beer, duckpin bowling, an ice cream truck & a slide.",ChIJz2raGbUddkgR1EBfTLADLtI,4.1,https://www.brewdog.com/uk/brewdog-waterloo,https://maps.google.com/?cid=15145046652623995092,#808000,False,False,False,False,False,False,False,True,False,False,True,False,False,False,True,False,False,False,False,False,False,False,False,False,False,32a85ecb-f859-4562-89b7-3b6900f8e592,ff222949-b25b-4b1c-b7a4-b9dec63c48a3,b5347a04-bf27-4dec-a701-b6332108ba94,4121566d-91cc-4e75-ad37-d3076e65131e,0c61ae1e-4b26-4ebe-b88f-8cf80e9ea261,e4e5fdcb-ace8-4fa5-8df5-d164cc292587,08c7b24b-82f2-4132-a280-ab4bbe315a20,Waterloo
2dbf12b8-120a-46fd-ab1a-d1bb0a6ea778,Walthamstow Trades Hall,"61-63 Tower Hamlets Rd, E17 4RQ",Bar,51.58895311235201,-0.0191070511937141,Sun 7.30pm quiz. Various events,ChIJ8RRrJ-YddkgR28mStkbXE3U,4.5,https://www.walthamstowtradeshall.com/,https://maps.google.com/?cid=8436323225705826779,#808000,False,False,False,True,False,False,True,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,,,,,,,b605b096-38d0-43f4-b19f-fdb8b949a389,Walthamstow Central
528783f6-5ba8-4207-9de5-ba7bcfa50cae,The Horniman at Hays,"Unit 26, Hay’s Galleria, SE1 2HD",Bar,51.50615127687141,-0.082961730659008,"Pub in former tea warehouse with thematic friezes, chandeliers, floor tiles and riverside terrace.",ChIJzTKWP1ADdkgRTNDLN_08UDk,4.1,https://www.nicholsonspubs.co.uk/restaurants/london/thehornimanathayslondonbridge?utm_source=google&utm_medium=organic&utm_campaign=gmb-homepage,https://maps.google.com/?cid=4129867916559241292,#808000,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,,,,,,,,London Bridge
86de190a-4e39-4e2c-add6-2ffa05d0f991,The Nickel Bar,"27 Poultry, EC2R 8AJ",Bar,51.51370884409096,-0.0900783017277717,Classic American dishes & cocktails set in a polished room with live music in The Ned Hotel.,ChIJZbiEwVQDdkgRqM6Mnr9trl0,4.5,https://www.thened.com/london/restaurants/the-nickel-bar?utm_source=google&utm_medium=local&utm_campaign=bar-thenickelbar,https://maps.google.com/?cid=6750453561241161384,#808000,False,False,False,True,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,397348d4-d506-4dc7-a887-e661111b20ed,,,,,,,Bank
